model,F1,precision,recall,test_acc,train_acc
Logistic,0.010416666666666666,0.4,0.005277044854881266,0.8413361169102297,0.843358395989975
kNN,0.0,0.0,0.0,0.8405010438413362,0.8421052631578947
LDA,0.2140221402214022,0.3558282208588957,0.15303430079155672,0.8221294363256785,0.8512949039264829
QDA,0.2782415136338342,0.1763046544428773,0.6596306068601583,0.45845511482254697,0.5363408521303258
Single Tree,0.1625207296849088,0.21875,0.12928759894459102,0.7891440501043842,0.9218880534670009
Random Forest,0.0,0.0,0.0,0.8417536534446765,0.841687552213868
AddBoost,0.0,0.0,0.0,0.8417536534446765,0.841687552213868
Neural Network,0.10810810810810811,0.36923076923076925,0.0633245382585752,0.8346555323590814,0.8600668337510443
